Barcodes,Bio Sample
fw1005--rv1033,01AS
fw1005--rv1035,01AR
fw1005--rv1044,01BS
fw1005--rv1045,01BR
fw1005--rv1054,02AS
fw1005--rv1056,02AR
fw1005--rv1057,04AS
fw1005--rv1059,04AR
fw1005--rv1060,06AS
fw1005--rv1062,06AR
fw1005--rv1065,07AS
fw1005--rv1075,07AR
fw1005--rv1076,07BS
fw1005--rv1082,07BR
fw1005--rv1083,07CS
fw1005--rv1089,07CR
fw1005--rv1096,08AS
fw1005--rv1098,08AR
fw1005--rv1100,08BS
fw1005--rv1101,08BR
fw1005--rv1105,09AS
fw1005--rv1107,09AR
fw1005--rv1110,09BS
fw1005--rv1112,09BR
fw1007--rv1033,09CS
fw1007--rv1035,09CR
fw1007--rv1044,10AS
fw1007--rv1045,10AR
fw1007--rv1054,11AS
fw1007--rv1056,11AR
fw1007--rv1057,13AS
fw1007--rv1059,13AR
fw1007--rv1060,14AS
fw1007--rv1062,14AR
fw1007--rv1065,16AS
fw1007--rv1075,16AR
fw1007--rv1076,17AS
fw1007--rv1082,17AR
fw1007--rv1083,17BS
fw1007--rv1089,17BR
fw1007--rv1096,17CS
fw1007--rv1098,17CR
fw1007--rv1100,18AS
fw1007--rv1101,18AR
fw1007--rv1105,18BS
fw1007--rv1107,18BR
fw1007--rv1110,19AS
fw1007--rv1112,19AR
fw1008--rv1033,20AS
fw1008--rv1035,20AR
fw1008--rv1044,20BR
fw1008--rv1045,20CS
fw1008--rv1054,21AS
fw1008--rv1056,21AR
fw1008--rv1057,24AS
fw1008--rv1059,24AR
fw1008--rv1060,26AS
fw1008--rv1062,26AR
fw1008--rv1065,27AS
fw1008--rv1075,27AR
fw1008--rv1076,28AS
fw1008--rv1082,28AR
fw1008--rv1083,29AS
fw1008--rv1089,29AR
fw1008--rv1096,30AS
fw1008--rv1098,30AR
fw1008--rv1100,31AR
fw1008--rv1101,31BS
fw1008--rv1105,32AS
fw1008--rv1107,32AR
fw1008--rv1110,33AS
fw1008--rv1112,37AS
fw1012--rv1033,37AR
fw1012--rv1035,37BS
fw1012--rv1044,37BR
fw1012--rv1045,38AS
fw1012--rv1054,38AR
fw1012--rv1056,44AS
fw1012--rv1057,44AR
fw1012--rv1059,44BS
fw1012--rv1060,44BR
fw1012--rv1062,46AS
fw1012--rv1065,46AR
fw1012--rv1075,49AS
fw1012--rv1076,49AR
fw1012--rv1082,50AS
fw1012--rv1083,50AR
fw1012--rv1089,52AS
fw1012--rv1096,52AR
fw1012--rv1098,52BS
fw1012--rv1100,52BR
fw1012--rv1101,55AS
fw1012--rv1105,55AR
fw1012--rv1107,55BS
fw1012--rv1110,55BR
fw1012--rv1112,56AR
fw1015--rv1033,59AS
fw1015--rv1035,59AR
fw1015--rv1044,60AS
fw1015--rv1045,62AS
fw1015--rv1054,62AR
fw1015--rv1056,63AR
fw1015--rv1057,64AS
fw1015--rv1059,64AR
fw1015--rv1060,65AS
fw1015--rv1062,65AR
fw1015--rv1065,66AS
fw1015--rv1075,66AR
fw1015--rv1076,67AS
fw1015--rv1082,67AR
fw1015--rv1083,67BS
fw1015--rv1089,67BR
fw1015--rv1096,69AS
fw1015--rv1098,69AR
fw1015--rv1100,71AS
fw1015--rv1101,56AS
fw1015--rv1105,72AS
fw1015--rv1107,72AR
fw1015--rv1110,73AS
fw1015--rv1112,73AR
fw1020--rv1033,74AS
fw1020--rv1035,74AR
fw1020--rv1044,75AS
fw1020--rv1045,75AR
fw1020--rv1054,83AS
fw1020--rv1056,83AR
fw1020--rv1057,84AR
fw1020--rv1059,38BS
fw1020--rv1060,38BR
fw1020--rv1062,87AS
fw1020--rv1065,87AR
fw1020--rv1075,89AS
fw1020--rv1076,89AR
fw1020--rv1082,90AS
fw1020--rv1083,90AR
fw1020--rv1089,MOCK1
fw1020--rv1096,MOCK28
fw1020--rv1098,MOCK5
fw1020--rv1100,MOCK6
fw1020--rv1101,MOCK7
fw1020--rv1105,MOCK8
fw1020--rv1107,MOCK10
fw1020--rv1110,MOCK11
fw1020--rv1112,MOCK13
fw1022--rv1033,NC28
fw1022--rv1035,NC5
fw1022--rv1044,NC6
fw1022--rv1045,NC7
fw1022--rv1054,NC9
fw1022--rv1056,NC10
fw1022--rv1057,NC11
fw1022--rv1059,NC13
fw1022--rv1060,NC14
fw1022--rv1062,NC15
fw1022--rv1065,NC16
fw1022--rv1075,NC17
fw1022--rv1076,NC18
fw1024--rv1033,MOCK14
fw1024--rv1035,MOCK16
fw1024--rv1044,MOCK17
fw1024--rv1045,MOCK18
fw1024--rv1059,MOCK15
